name,description,sku,category
Samsung 55 Inch QLED TV,4K Ultra HD Smart TV with Quantum Dot technology and HDR support,SAM-TV-55Q,Electronics
Sony WH-1000XM5 Headphones,Wireless noise cancelling headphones with 30 hour battery life,SNY-HP-XM5,Electronics
Nike Air Max 270 Running Shoes,Lightweight athletic shoes with Air Max cushioning unit in heel,NKE-SH-AM270,Footwear
Apple MacBook Pro 14 inch,Laptop with M3 Pro chip 18GB RAM and 512GB SSD storage,APL-LT-MBP14,Computers
Instant Pot Duo 7-in-1,Electric pressure cooker slow cooker rice cooker steamer and more,INS-KT-DUO7,Kitchen
Levis 501 Original Jeans,Classic straight fit denim jeans with button fly in dark wash,LEV-JN-501,Apparel
Dyson V15 Detect Vacuum,Cordless stick vacuum with laser dust detection and LCD screen,DYS-VC-V15,Home Appliances
Canon EOS R6 Mark II Camera,Full frame mirrorless camera with 40fps burst and in-body stabilization,CAN-CM-R6M2,Electronics
Adidas Ultraboost 23 Sneakers,Premium running shoes with Boost midsole and Primeknit upper,ADI-SH-UB23,Footwear
KitchenAid Stand Mixer 5 Quart,Tilt-head stand mixer with 10 speeds and stainless steel bowl,KAD-KT-SM5Q,Kitchen
Bose SoundLink Flex Speaker,Waterproof portable Bluetooth speaker with 12 hours of playtime,BSE-SP-SLF,Electronics
Dell XPS 15 Laptop,15.6 inch OLED display laptop with Intel Core i7 and 32GB RAM,DEL-LT-XPS15,Computers